                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.1121,                0.80569,                 1.5442,                0.96011,                0.96713,                0.96091,                0.73668,                0.92984,                0.48466,                 1.2589,              0.0001387,              0.0001387,              0.0001387
                     90,                 1.0993,                0.80861,                 1.5406,                 0.9628,                0.97176,                 0.9593,                 0.7351,                0.92517,                0.48515,                 1.2625,              0.0001288,              0.0001288,              0.0001288
                     91,                 1.0761,                0.70418,                  1.542,                 0.9626,                0.96922,                0.95868,                0.73562,                0.92415,                0.49703,                 1.2593,              0.0001189,              0.0001189,              0.0001189
                     92,                 1.0395,                0.67221,                 1.5152,                0.96294,                0.97189,                0.95961,                0.73594,                 0.9264,                0.48446,                 1.2595,               0.000109,               0.000109,               0.000109
                     93,                 1.0317,                0.66224,                 1.5099,                0.96388,                0.97201,                0.96083,                0.73901,                0.92394,                 0.4813,                 1.2667,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                 1.0275,                0.65997,                 1.5079,                0.96328,                0.97206,                0.96206,                0.74144,                0.92235,                0.47903,                 1.2671,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                 1.0194,                0.66804,                 1.5102,                 0.9629,                 0.9721,                0.96009,                0.74108,                0.92319,                0.47893,                 1.2586,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 1.0169,                0.65098,                 1.4969,                0.96268,                0.97181,                0.96186,                0.74013,                0.91869,                0.48289,                 1.2564,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                  1.009,                0.64309,                 1.4898,                0.96305,                0.97189,                0.95955,                0.73947,                0.91379,                0.47917,                 1.2495,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                 1.0159,                0.64998,                 1.4987,                0.96348,                0.97203,                0.95872,                0.73791,                0.91408,                0.47846,                 1.2541,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                 1.0075,                0.65406,                 1.4948,                0.96282,                0.97237,                0.95909,                0.73912,                0.91852,                 0.4784,                 1.2611,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                 1.0029,                0.64137,                  1.488,                0.96315,                0.97192,                0.95986,                0.74043,                0.91113,                0.47268,                  1.244,               2.98e-05,               2.98e-05,               2.98e-05
